ID,Target
ID_kXhOuK,0
ID_Dd4eTq,0
ID_vUq7U9,0
ID_6vo37d,0
ID_dfaUGs,0
ID_kAiyfB,0
ID_aFtVC4,0
ID_Mrbi2k,0
ID_WfpDgN,0
ID_05RXfR,0
ID_gRAIm7,0
ID_FblgNb,0
ID_lTrObc,0
ID_wYHgAT,0
ID_oiseum,0
ID_N1gYWe,0
ID_2j2bjN,0
ID_rNjI84,0
ID_eARDES,0
ID_v7TeKx,0
ID_e7vvq7,0
ID_hpN59v,0
ID_VtTo2k,0
ID_HCMg6X,0
ID_gAWpBr,0
ID_6eHycb,0
ID_eSp9bR,0
ID_jfS8CC,0
ID_AglGo5,0
ID_l6LMbx,0
ID_MVUiVd,0
ID_uH3Skc,0
ID_c21eq4,0
ID_fOFLVc,0
ID_th8V1r,0
ID_D1OOTZ,0
ID_Cmhkqg,0
ID_xGUL2o,0
ID_LK2SqG,0
ID_ZNRIrY,0
ID_2JSfWv,0
ID_M5IIcI,0
ID_djQBUB,0
ID_tH4lum,0
ID_5zXWBX,0
ID_elvXdZ,0
ID_P2xV7c,0
ID_GPuJuF,0
ID_zEYtR5,0
ID_kIs2Uo,0
ID_WmGbMs,0
ID_BOKYj4,0
ID_KuBzv9,0
ID_VCa9Ri,0
ID_VFbmTp,0
ID_kUUCG0,0
ID_IxvMiq,0
ID_eVxyhg,0
ID_6QUUDS,0
ID_BpuGxN,0
ID_hszJl0,0
ID_aRcHRk,0
ID_5BqDot,0
ID_E6OOmg,0
ID_V8UMam,0
ID_kRZ2As,0
ID_E2D5jc,0
ID_68xfru,0
ID_6mTKxh,0
ID_iie6Gb,0
ID_1z6fcM,0
ID_Srqt3C,0
ID_2eMyDO,0
ID_pDdWK3,0
ID_qYWnss,0
ID_atRBpm,0
ID_c2VGlv,0
ID_qDj14n,0
ID_w9ddGr,0
ID_OyPPp5,0
ID_UrUGR0,0
ID_SEPeBL,0
ID_ammPbc,0
ID_fgffqF,0
ID_Io0SrR,0
ID_JtDMBo,0
ID_CW2rk4,0
ID_BKdiBa,0
ID_GX94zK,0
ID_oTKXSn,0
ID_p1pS65,0
ID_jlUVm1,0
ID_FiF2Z2,0
ID_IFp5X3,0
ID_miSowD,0
ID_3BIQ8R,0
ID_ED4ZFJ,0
ID_cNqnJj,0
ID_UAlErU,0
ID_LqV3nN,0
ID_UGZs6U,0
ID_AuVlnt,0
ID_su9xHb,0
ID_ObCbkz,0
ID_GfiW0V,0
ID_N4i9OG,0
ID_7ObNjL,0
ID_G1j10O,0
ID_1uTElF,0
ID_8hYF20,0
ID_dtkKR3,0
ID_cGE4FI,0
ID_TiXCKH,0
ID_kGeiDj,0
ID_1nhFUM,0
ID_RPqPKr,0
ID_zA5WiV,0
ID_pcNPj3,0
ID_JUwN76,0
ID_f1UAVW,0
ID_oS0D36,0
ID_eThtV0,0
ID_oXJefH,0
ID_KybrxA,0
ID_ST2dOD,0
ID_8qoMn9,0
ID_lkKNdc,0
ID_ekexlK,0
ID_9eJ7BL,0
ID_EMYRT1,0
ID_3iRmFC,0
ID_beCTik,0
ID_rzSiC0,0
ID_reXMlf,0
ID_GWCxhs,0
ID_NgdmjP,0
ID_NMwChS,0
ID_LpcJtH,0
ID_vSy1Rx,0
ID_FnVYlQ,0
ID_ap2JWx,0
ID_D0oeAK,0
ID_BuBhni,0
ID_JGs5v5,0
ID_rY45AH,0
ID_3L5WUl,0
ID_k2mnHs,0
ID_iVkAoN,0
ID_eWnXTQ,0
ID_RK3NBD,0
ID_rB2ABL,0
ID_spYa6i,0
ID_fm2v4V,0
ID_BudjXW,0
ID_tMRSv3,0
ID_Yv0DPl,0
ID_pWTYdT,0
ID_tGcPgJ,0
ID_9mrxuf,0
ID_2OysuO,0
ID_cuwblO,0
ID_M9C7UE,0
ID_snrzQH,0
ID_tH64nr,0
ID_N3jlDQ,0
ID_79FLcy,0
ID_tHBITZ,0
ID_LhbQn9,0
ID_Ighmj4,0
ID_jw41iP,0
ID_KU10vH,0
